单词,美式音标,中文翻译,例句,例句翻译
blush,blʌʃ,v. 脸红；感到惭愧；n. 脸红；红色；羞愧,Wilson saw she was watching him and blushed.,威尔逊看到她在注视着自己，不由得脸红了。
obscure,əb'skjʊr,adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的；v. 使…模糊不清，掩盖；隐藏；使难理解；n. 某种模糊的或不清楚的东西,an obscure poet,名不见经传的诗人
cooperate,koʊˈɑːpəreɪt,v. 合作，配合；协力,They agreed to co-operate with Brazil on a programme to protect the rain forests.,他们同意和巴西合作进行一个保护热带雨林的项目。
sue,su,v. 控告；请求；n. (Sue)人名；(日)末(名)；(法)休；(英)休(女子教名Susan、Susanna的昵称),"If the builders don’t fulfil their side of the contract, we’ll sue.",如果建筑商不履行合同，我们就要提出起诉。
item,'aɪtəm,n. 条款，项目；一则；一件商品（或物品）；adj. 又，同上；v. 记下；逐条列出,He opened the cardboard box and took out each item.,他打开纸板箱把里面的物品一一拿出来。
interrupt,'ɪntə'rʌpt,v. 中断；打断；插嘴；妨碍；n. 中断,Will you stop interrupting me!,别打断我的话！
rage,redʒ,n. 愤怒；狂暴，肆虐；情绪激动；v. 大怒，发怒；流行，风行,"Sobbing with rage, Carol was taken to the hospital.",卡罗尔气得呜呜哭，被送往医院。
oblige,ə'blaɪdʒ,v. 迫使；强制；赐，施恩惠；责成；义务,"The storm got worse and worse. Finally, I was obliged to abandon the car and continue on foot.",暴风雨越来越猛烈。最终，我被迫弃车徒步前行。
proof,pruf,n. 证明；证据；校样；考验；验证；试验；adj. 防…的；不能透入的；证明用的；耐…的；v. 试验；校对；使不被穿透,There is no proof that the document is authentic.,没有证据证明这份文件是真的。
scholar,'skɑlɚ,n. 学者；奖学金获得者,a Shakespearean scholar,研究莎士比亚的学者
conclude,kən'klud,v. 推断；决定，作结论；结束,"When the investigation is concluded, the results will be sent to the US Attorney’s office.",等到调查结束后，结果会被送到联邦检察官办公室。
assess,ə'sɛs,v. 评定；估价；对…征税,The test was to assess aptitude rather than academic achievement.,该测试将评估能力而不是学业成绩。
manufacture,'mænjə'fæktʃɚ,n. 制造；产品；制造业；v. 制造；加工；捏造,Cost will determine the methods of manufacture.,成本将决定生产方法。
different,'dɪfrənt,adj. 不同的；个别的，与众不同的,The place looks completely different now.,这地方现在完全变了。
eager,'igɚ,adj. 渴望的；热切的；热心的；n. (Eager)人名；(英)伊格,He’s a bright kid and eager to learn.,他是个聪明的孩子，热爱学习。
erupt,ɪ'rʌpt,v. 爆发；喷出；发疹；长牙,Violence erupted after police shot a student during the demonstration.,警察向示威人群中的一名学生开枪，暴乱随之发生。
president,'prɛzɪdənt,n. 总统；董事长；校长；主席,President Bush,布什总统
precaution,prɪ'kɔʃən,n. 预防，警惕；预防措施；vt. 警惕；预先警告,Fire precautions were neglected.,防火措施被忽视了。
explore,ɪk'splɔr,v. 探索；探测；探险,Management need to explore ways of improving office security.,管理层需要探讨如何加强办事处的安全措施。
volunteer,",vɑlən'tɪr",n. 志愿者；志愿兵；adj. 志愿的；v. 自愿,Most of the relief work was done by volunteers.,大部分救援工作都由志愿人员完成。
decelerate,",di'sɛləret",v. 减速，降低速度,...the sensation of the train decelerating.,... 火车减速的感觉。
excessive,ɪkˈsɛsɪv,adj. 过多的，极度的；过分的,his excessive drinking,他的酗酒
resemble,rɪ'zɛmbl,v. 类似，像,It’s amazing how closely Brian and Steve resemble each other.,布赖恩和史蒂夫真是惊人地相像。
bid,bɪd,v. 投标；出价；表示；吩咐；n. 出价；叫牌；努力争取,She wanted to bid for it.,她想出价买下它。
remedy,'rɛmədi,v. 补救；治疗；纠正；n. 补救；治疗；赔偿,"To remedy the situation, the water must be chemically treated.",为了改善这种情况，水必须进行化学处理。
stem,stɛm,n. 干；茎；船首；血统；v. 阻止；除去…的茎；给…装柄,long-stemmed wine glasses,高脚酒杯
prolong,prəˈlɑːŋ,v. 延长；拖延,I was trying to think of some way to prolong the conversation.,我在想方设法拖长这次谈话。
doubtful,'daʊtfəl,adj. 可疑的；令人生疑的；疑心的；不能确定的,Prospects for a lasting peace remain doubtful.,持久和平的前景难料。
confuse,kən'fjʊz,v. 使混乱；使困惑,I understand the text but the diagrams are confusing me.,文字我理解，但是图表把我弄糊涂了。
economical,",ɛkə'nɑmɪkl",adj. 经济的；节约的；合算的,A small car is more economical to run.,开小型汽车比较省油。
adolescent,",ædə'lɛsnt",adj. 青春期的；未成熟的；n. 青少年,It is important that an adolescent boy should have an adult in whom he can confide.,一个青春期男孩应该有一个他能倾吐心声的成年人，这是很重要的。
accomplished,ə'kɑmplɪʃt,adj. 完成的；熟练的，有技巧的；有修养的；有学问的,,
arrange,ə'rendʒ,v. 安排；排列；整理,Contact your local branch to arrange an appointment.,请联络当地分部安排预约。
stale,stel,adj. 陈腐的；不新鲜的；v. 变陈旧；撒尿；变得不新鲜；n. 尿,French bread goes stale (= becomes stale ) very quickly.,法式面包极易变味。
instantaneous,",ɪnstən'tenɪəs",adj. 瞬间的；即时的；猝发的,modern methods of instantaneous communication,现代的即时通信方法
enhance,ɪn'hæns,v. 提高；加强；增加,Good lighting will enhance any room.,良好的照明能给房间增色不少。
transplant,træns'plænt,v. 移植；迁移；使移居；n. 移植；移植器官；被移植物；移居者,The operation to transplant a kidney is now fairly routine.,移植肾脏的手术如今相当常见。
monotonous,mə'nɑtənəs,adj. 单调的，无抑扬顿挫的；无变化的,a monotonous diet,单调的饮食
urge,ɝdʒ,v. 力劝，催促；驱策，推进；n. 强烈的欲望，迫切要求；推动力,The charity urged quick action.,慈善机构敦促迅速采取行动。
grieve,griv,v. 使悲伤，使苦恼；n. (Grieve)人名；(英)格里夫,"My aunt, it grieves me to say, gets things confused.",我的姑妈，说起来我很难过，她有点颠三倒四的。
catalogue,'kætəlɔɡ,n. 目录；（美）大学情况一览；v. 把…编入目录,a mail order catalog,邮购商品目录
contradict,'kɑntrə'dɪkt,v. 反驳；否定；与…矛盾；与…抵触,"Deborah opened her mouth to contradict, but closed it again.",黛博拉张口想要反驳，但又把嘴闭上了。
delicate,ˈdɛlɪkɪt,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的,There’s something I have to speak to you about – it’s a delicate matter .,我有件事要跟你讲——是一件需要谨慎处理的事。
dispute,'dɪs'pjʊt,v. 辩论；怀疑；阻止；抗拒；n. 辩论；争吵,What happened next is hotly disputed .,关于后来发生了什么，争论很激烈。
overlook,",ovɚ'lʊk",v. 忽略；俯瞰；远眺；检查；高耸于…之上；n. 忽视；眺望,It is easy to overlook a small detail like that.,那样的小细节很容易被忽略。
survive,sɚ'vaɪv,v. 幸存；生还；幸免于；比活得长,Only 12 of the 140 passengers survived.,140 名乘客中只有 12 人生还。
implication,'ɪmplɪ'keʃən,n. 含义；暗示；牵连，卷入；可能的结果，影响,This election has profound implications for the future of U.S. democracy.,对于美国民主的未来而言，这次选举影响深远。
create,krɪ'et,v. 创造，创作；造成,Some people believe the universe was created by a big explosion.,有些人认为宇宙是通过一次大爆炸创造出来的。
reveal,rɪ'vil,v. 显示；透露；揭露；泄露；n. 揭露；暴露；门侧，窗侧,He may be prosecuted for revealing secrets about the security agency.,他可能因泄露安全部门的机密而被起诉。
vain,ven,adj. 徒劳的；自负的；无结果的；无用的,Men can be just as vain as women.,男人有时会和女人一样虚荣。
expertise,'ɛkspɝ'tiz,n. 专门知识；专门技术；专家的意见,She was not an accountant and didn't have the expertise to verify all of the financial details.,她不是会计，不具有核查所有这些财政细目的专业知识。
valid,'vælɪd,adj. 有效的；有根据的；合法的；正当的,a valid credit card,有效信用卡
embassy,'ɛmbəsi,n. 大使馆；大使馆全体人员,the American Embassy in Paris,美国驻巴黎大使馆
appetite,'æpɪtaɪt,n. 食欲；嗜好,Her husband always had a huge appetite.,她丈夫向来胃口极大。
auction,'ɔkʃən,v. 拍卖；竞卖；n. 拍卖,Eight drawings by French artist Jean Cocteau will be auctioned next week.,法国艺术家让·科克托的8幅画作将在下周拍卖。
particular,pɚ'tɪkjəlɚ,adj. 特别的；详细的；独有的；挑剔的；n. 详细说明；个别项目,"In this particular case, no one else was involved.",这件事没有其他人牵涉其中。
divert,dɪˈvɚt,v. 转移；使…欢娱；使…转向；n. (Divert)人名；(法)迪韦尔,Remember to divert your phone when you are out of the office.,你不在办公室的时候要记得设定电话转移。
satire,'sætaɪɚ,n. 讽刺；讽刺文学，讽刺作品,the characteristic use of satire in Jonson’s work,琼森作品中讽刺手法的独到运用
envious,'ɛnvɪəs,adj. 羡慕的；嫉妒的,envious looks,妒忌的神色
forth,fɔrθ,adv. 向前，向外；自…以后；n. (Forth)人名；(德)福特；(英)福思,"The house was still burning, pouring forth thick black smoke.",房子仍在燃烧，冒出浓浓的黑烟。
regard,rɪ'ɡɑrd,n. 注意；尊重；问候；凝视；v. 注重，考虑；看待；尊敬；把…看作；与…有关,My husband sends his regards .,我丈夫向你问好。
blur,blɝ,v. 涂污；使…模糊不清；使暗淡；玷污；n. 污迹；模糊不清的事物,The street lights were blurred by the fog.,街灯在迷雾的笼罩下十分昏暗。
bless,blɛs,v. 祝福；保佑；赞美；n. (Bless)人名；(英、意、德、匈)布莱斯,He’s always willing to help. Bless him!,他一向乐于助人，愿上帝保佑他！
segregate,'sɛɡrɪɡet,v. 使隔离；使分离；在…实行种族隔离,A large detachment of police was used to segregate the two rival camps of protesters.,一大队分遣警察被派来隔离两群敌对的抗议者。
substitute,'sʌbstɪtut,n. 代用品；代替者；v. 替代,Germany brought on a substitute at half time.,德国队在比赛半场时换上一名替补队员。
resentful,rɪ'zɛntfl,adj. 充满忿恨的；厌恶的,At first I felt very resentful and angry about losing my job.,"起初,我对丢掉工作感到非常怨恨和恼怒。"
racism,'resɪzəm,n. 种族主义，种族歧视；人种偏见,The government has promised to continue the fight against racism.,政府已承诺继续打击种族歧视。
elaborate,ɪ'læbəret,adj. 精心制作的；详尽的；煞费苦心的；v. 精心制作；详细阐述；从简单成分合成（复杂有机物）,pure silks embroidered with elaborate patterns,绣有精美图案的真丝衣服
collaborate,kə'læbəret,v. 合作；勾结，通敌,Much later he collaborated with his son Michael on the English translation of a text on food production.,后来他和儿子迈克尔合作，把一个有关食品生产的文本翻译成英语。
destruction,dɪ'strʌkʃən,n. 破坏，毁灭；摧毁,"{""COLLOINEXA"":[""weapons of mass destruction""]}",大规模杀伤性武器
painful,'penfl,adj. 痛苦的；疼痛的；令人不快的,stiff painful joints,僵硬疼痛的关节
fatigue,fə'tig,n. 疲劳，疲乏；杂役；v. 使疲劳；使心智衰弱；adj. 疲劳的,"{""COLLOINEXA"":[""metal fatigue""]}",金属疲劳
aboard,ə'bɔrd,adv. 在飞机上；[船] 在船上；在火车上；prep. 在…上,"The plane crashed, killing all 200 people aboard.",飞机失事，机上200人全部遇难。
deteriorate,dɪ'tɪrɪəret,v. 恶化，变坏,Ethel’s health has deteriorated.,埃塞尔的健康状况恶化了。
scatter,'skætɚ,v. 分散，散开；散射；n. 分散；散播，撒播,The sound of gunfire made the crowd scatter in all directions.,枪声使人群四散奔逃。
withstand,wɪð'stænd,v. 抵挡；禁得起；反抗,The Chancellor has withstood the criticism and held firm.,总理顶住批评，坚持立场。
apply,ə'plaɪ,v. 申请；涂，敷；应用,We need to apply for planning permission to build a garage.,我们建车库需要申请规划许可。
farewell,",fɛr'wɛl",n. 告别，辞别；再见；再会；int. 别了！（常含有永别或不容易再见面的意思）；再会！；adj. 告别的,Mourners gathered to bid farewell to the victims of the plane tragedy.,哀悼者来向空难受害者告别。
electronic,ɪˌlekˈtrɑːnɪk,adj. 电子的；n. 电子电路；电子器件,electronic games,电子游戏
orient,'orɪənt,v. 使适应；确定方向；使朝东；n. 东方；东方诸国；adj. 东方的,"She looked at the street names, trying to orient herself.",她看看街名，试图确定自己的方位。
tractor,'træktɚ,n. 拖拉机；牵引机,Iron-ox is another name for tractor.,铁牛是拖拉机的别名。
eligible,'ɛlɪdʒəbl,adj. 合格的，合适的；符合条件的；有资格当选的；n. 合格者；适任者；有资格者,Stephen was regarded as an eligible bachelor.,斯蒂芬被认为是一个钻石王老五。
flare,flɛr,v. 使闪耀；使张开；用发光信号发出；使外倾；n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹,Tempers flared and harsh words were exchanged.,人们大动肝火，对骂起来。
damp,dæmp,v. 使潮湿；使阻尼；使沮丧，抑制；n. 潮湿，湿气；adj. 潮湿的,Damp had stained the walls.,墙上留下了潮湿的痕迹。
frequency,'frikwənsi,n. 频率；频繁,Side effects from prescribed drugs are being reported with increasing frequency (= more and more often ) .,处方药的副作用正越来越频繁地被报道出来。
tend,tɛnd,v. 趋向，倾向；照料，照顾,Sofia was in the bedroom tending to her son.,索菲娅在卧室里照料她的儿子。
applaud,ə'plɔd,v. 赞同；称赞；向…喝彩,I applaud the decision to install more security cameras.,我极力赞成安装更多监控摄像机的决定。
capture,'kæptʃɚ,"v. 俘获；夺得；捕捉，拍摄,录制；n. 捕获；战利品，俘虏",Government troops have succeeded in capturing the rebel leader.,政府军已经成功抓获叛乱分子的头目。
plot,plɑt,n. 情节；图；阴谋；v. 密谋；绘图；划分；标绘,The court heard how she and her lover hatched a plot (= planned a plot ) to kill her husband.,法庭听取了她和情人密谋杀害她丈夫的案情。
consume,kənˈsum,v. 消耗，消费；使…著迷；挥霍,Only 27% of the paper we consume is recycled.,我们消耗的纸张只有 27% 得到回收利用。
lease,lis,n. 租约；租期；租赁物；租赁权；v. 出租；租得,The landlord refused to renew his lease.,房东拒绝和他续签租约。
boom,buːm,v. 使兴旺；发隆隆声；n. 繁荣；吊杆；隆隆声,Guns boomed in the distance.,远处大炮隆隆作响。
addition,ə'dɪʃən,n. 添加；[数] 加法；增加物,This is a fine book; a worthy addition to the series.,这是一本好书——是对这套丛书有价值的增补。
complex,"kəm'plɛks; 'kɑm,plɛks",adj. 复杂的；合成的；n. 复合体；综合设施,a complex system of highways,复杂的公路网
flee,fli,v. 逃走；消失，消散,His attackers turned and fled.,袭击他的人转身逃走了。
coincide,",koɪn'saɪd",v. 一致，符合；同时发生,"When our vacations coincided, we often holidayed together.",我们的假期要是凑巧赶在一起，我们常常会一同去度假。
treasure,'trɛʒɚ,n. 财富，财产；财宝；珍品；v. 珍爱；珍藏,The Book of Kells is Trinity College’s greatest treasure.,《凯尔经》是三一学院的镇院之宝。
overflow,",ovɚ'flo",v. 溢出；泛滥；充溢；n. 充满，洋溢；泛滥；超值；溢值,The drains flooded and water overflowed down the main street.,下水道被淹，水溢到了大街上。
criminal,'krɪmɪnl,n. 罪犯；adj. 刑事的；犯罪的；罪恶的,Police have described the man as a violent and dangerous criminal.,警方形容那名男子是个凶暴而危险的罪犯。
notable,'notəbl,adj. 值得注意的，显著的；著名的；n. 名人，显要人物,"Every country in the world signed the treaty, with one notable exception - the United States.",全世界每个国家都签署了那份条约，只有一个国家反其道而行之，就是美国。
recipe,'rɛsəpi,n. 食谱；[临床] 处方；秘诀；烹饪法,a recipe book,一本烹饪书
eccentric,ɪk'sɛntrɪk,adj. 古怪的，反常的；n. 古怪的人,His eccentric behaviour lost him his job.,他古怪的行为使他丢了工作。
posture,'pɑstʃɚ,n. 姿势；态度；情形；v. 摆姿势,her upright posture,她笔挺的姿势
trial,'traɪəl,n. 试验；审讯；努力；磨炼；adj. 试验的；审讯的,a new drug that is undergoing clinical trials,正在接受临床试验的一种新药
scold,skold,v. 责骂；叱责；n. 责骂；爱责骂的人,"Do not scold the puppy, but simply and firmly say ‘no’.",不要责骂小狗，但要干脆利落地说“不”。
adopt,ə'dɑpt,v. 采取；接受；收养；正式通过,Sally was adopted when she was four.,莎莉四岁时被人收养。
import,'ɪmpɔt,n. 进口，进口货；输入；意思，含义；重要性；v. 输入，进口；含…的意思,,
engagement,ɪn'ɡedʒmənt,n. 婚约；约会；交战；诺言,Their engagement was announced in the paper.,他们订婚的消息在报上公布了。
undertake,",ʌndɚ'tek",v. 承担，保证；从事；同意；试图,He undertook to pay the money back in six months.,他保证在六个月之内还钱。
grab,ɡræb,v. 攫取；霸占；将…深深吸引；n. 攫取；霸占；夺取之物,I grabbed my bag and ran off.,我抓起我的包就跑。
innocent,'ɪnəsnt,adj. 无辜的；无罪的；无知的；n. 天真的人；笨蛋,Nobody would believe that I was innocent.,没人肯相信我是清白的。
humour,'hju:mə,n. 幽默（等于humor）；诙谐；v. 迁就；使满足,his humour and charm,他的幽默感和魅力
erode,ɪ'rod,v. 腐蚀，侵蚀,The cliffs are being constantly eroded by heavy seas.,悬崖正不断受到汹涌海浪的侵蚀。
establish,ɪˈstæblɪʃ,v. 建立；创办；安置,The city of Boerne was established by German settlers in the 1840s.,博恩市是德国移民于19世纪40年代建立的。
layman,'lemən,n. 外行；门外汉；俗人；一般信徒,To the layman (= laymen in general ) all these plants look pretty similar.,对外行的人来说，这些植物看起来都很相似。
undermine,'ʌndɚ'maɪn,v. 破坏，渐渐破坏；挖掘地基,The continued fighting threatens to undermine efforts to negotiate an agreement.,持续的战斗有可能破坏通过谈判达成协议的努力。
individualism,",ɪndɪ'vɪdʒuəlɪzəm",n. 个人主义；利己主义；个人特征,Capitalism encourages competition and individualism.,资本主义鼓励竞争，提倡个人主义。
appearance,ə'pɪrəns,n. 外貌，外观；出现，露面,He was always criticising his wife’s appearance.,他老是批评妻子的外表。
transcend,træn'sɛnd,v. 胜过，超越,The desire for peace transcended political differences.,对和平的渴望超越了政治分歧。
ignite,ɪɡ'naɪt,v. 点燃；使燃烧；使激动,The petrol tank suddenly ignited.,油箱突然着火了。
annual,'ænjuəl,adj. 年度的；每年的；n. 年刊，年鉴；一年生植物,The school trip has become an annual event.,学校组织的旅行成了一年一度的活动。
dissolve,dɪ'zɑlv,v. 使溶解；使分解；使液化；n. 叠化画面；画面的溶暗,Stir until the sugar dissolves.,一直搅拌到糖溶解掉。
