spread,sprɛd,v. 传播；伸展；n. 传播；伸展；adj. 伸展的,News of the explosion spread swiftly.,发生爆炸的消息迅速传播开来。
attitude,'ætɪtʊd,n. 态度；看法；意见；姿势,"As soon as they found out I was a doctor, their whole attitude changed.",他们一听说我是医生，态度就完全改变了。
living,'lɪvɪŋ,adj. 活的；现存的；活跃的；逼真的；n. 生活；生存；生计；v. 生活；居住（live的ing形式）；度过,He’s one of the greatest living composers.,他是仍然健在的最伟大的作曲家之一。
union,'junɪən,n. 联盟，协会；工会；联合,Are you planning to join the union?,你打算加入工会吗？
born,bɔrn,v. 出世（bear的过去分词）；adj. 天生的；n. (Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩,Forty lambs were born this spring.,今年春天有40头小羊羔出生。
define,dɪ'faɪn,v. 定义；使明确；规定；n. (Define)人名；(英)德法恩；(葡)德菲内,the ability to define clients’ needs,确定客户需求的能力
critic,'krɪtɪk,n. 批评家，评论家；爱挑剔的人,Mather was a film critic for many years.,马瑟做过多年的电影评论家。
institution,",ɪnstɪ'tuʃən",n. 制度；建立；（社会或宗教等）公共机构；习俗,powerful institutions such as world banks,诸如世界银行之类的强大机构
experiment,ɪk'sperɪmənt,v. 尝试；进行实验；n. 实验，试验；尝试,The teacher provided some different materials and left the children to experiment.,老师提供了几种不同的材料让孩子们试验。
adult,'ædʌlt,adj. 成年的；成熟的；n. 成年人,an adult lion,一头成年的狮子
review,rɪ'vju,n. 回顾；复习；评论；检讨；检阅；v. 回顾；检查；复审,The policy comes up for review (= will be reviewed ) in April.,这项政策将在4月份予以审议。
generation,'dʒɛnə'reʃən,n. 一代；产生；一代人；生殖,"Like most of my generation, I had never known a war.",和我们这一代的大多数人一样，我并没有经历过战争。
quality,'kwɑləti,n. 质量，[统计] 品质；特性；才能；adj. 优质的；高品质的；<英俚>棒极了,Much of the land was of poor quality.,很多地的土质很差。
criticism,'krɪtə'sɪzəm,n. 批评；考证；苛求,"Despite strong criticism , the new system is still in place.",尽管遭到了猛烈的批评，新制度依然原封不动。
remain,rɪ'men,v. 保持；依然；留下；剩余；逗留；残存；n. 遗迹；剩余物，残骸,Please remain seated until all the lights are on.,请留在座位上，直到灯全都亮起。
product,'prɑdʌkt,n. 产品；结果；[数] 乘积；作品,The London factory assembles the finished product .,伦敦工厂组装成品。
nation,'neʃən,n. 国家；民族；国民,the President’s radio broadcast to the nation,总统对全国的广播讲话
infer,ɪn'fɝ,v. 推断；推论,I inferred from what she said that you have not been well.,我从她的话里推断出你身体一直不大好。
community,kə'mjʊnəti,n. 社区；[生态] 群落；共同体；团体,The new arts centre will serve the whole community.,这座新的艺术中心将为整个社区服务。
happy,'hæpɪ,adj. 幸福的；高兴的；巧妙的；n. (Happy)人名；(英、瑞典、喀)哈皮,It’s a lovely house and we’ve been very happy here.,房子很漂亮，我们住在这里非常开心。
cover,'kʌvɚ,v. 包括；采访，报导；涉及；n. 封面，封皮；盖子；掩蔽物;幌子，借口,a course covering business law,一门包括商业法的课程
publication,",pʌblɪ'keʃən",n. 出版；出版物；发表,The guide is being translated into several languages for publication near Christmas.,这本指南正被翻译成好几种语言，准备在圣诞节前后出版。
segment,'sɛɡmənt,v. 分割；n. 段；部分,...the poorer segments of society.,…社会中的较贫困阶层。
seek,sik,v. 寻求；寻找；探索；搜索,Do you think the President will seek re-election ?,你认为总统会谋求连任吗？
condition,kən'dɪʃən,n. 条件；情况；环境；身份；v. 决定；使适应；使健康；以…为条件,Conditions in the prison were atrocious.,这座监狱的条件糟透了。
internet,'ɪntɚnɛt,n. 因特网,,
success,sək'sɛs,n. 成功，成就；胜利；大获成功的人或事物,The experiment was a big success.,实验非常成功。
fund,fʌnd,n. 基金；资金；存款；v. 投资；资助,The fund was set up to try to save the cathedral.,设立基金以挽救大教堂。
structure,'strʌktʃɚ,n. 结构；构造；建筑物；v. 组织；构成；建造,challenges to the existing power structure,对现有权力结构的挑战
sense,sɛns,n. 感觉，功能；观念；道理；理智；v. 感觉到；检测,"Cats have a very acute sense of hearing (= very good, so that they can hear even the smallest sound ) .",猫的听觉非常敏锐。
newspaper,'nuzpepɚ,n. 报纸,She had read about it in the newspapers.,关于这件事她已经在报纸上看到了。
customer,'kʌstəmɚ,n. 顾客；家伙,We aim to offer good value and service to all our customers.,我们力求为所有的客户提供物有所值的商品和服务。
learned,'lɝnd; lɝ​nɪd,adj. 博学的；有学问的；学术上的；n. (Learned)人名；(英)勒尼德,a learned professor,一位博学的教授
board,bɔrd,n. 董事会；木板；甲板；膳食；v. 上（飞机、车、船等）；用板盖上；给提供膳宿,Martha was chopping vegetables on a wooden board.,玛莎正在用一块木砧板切蔬菜。
president,'prɛzɪdənt,n. 总统；董事长；校长；主席,President Bush,布什总统
remove,rɪ'muv,v. 移动，迁移；开除；调动；n. 移动；距离；搬家,Remove the old wallpaper and fill any holes in the walls.,撕下旧墙纸，把墙上的洞都填平。
series,'sɪriz,n. 系列，连续；[电] 串联；级数；丛书,the series of events that led to the outbreak of war,导致战争爆发的一系列事件
record,(for v.) rɪˈkɔrd; (for n. adj.) ˈrɛkɚd,v. 记录，记载；标明；将录音；n. 档案，履历；唱片；最高纪录；adj. 创纪录的,Her husband made her record every penny she spent.,她丈夫要她把花的每分钱都记下来。
moral,'mɔrəl,adj. 道德的；精神上的；品性端正的；n. 道德；寓意,It is easy to have an opinion on a moral issue like the death penalty for murder.,对于判谋杀犯死刑这种涉及伦理道德的问题，有个观点并非难事。
production,prə'dʌkʃən,n. 成果；产品；生产；作品,the new Shakespeare production at the Arts Theatre,艺术剧院新排演的莎士比亚戏剧
population,",pɑpju'leʃən",n. 人口；[生物] 种群，[生物] 群体；全体居民,Nearly 70 percent of the population still live in the countryside.,人口中差不多有70%仍住在乡村。
underline,'ʌndəlaɪn,v. 强调；在…下面划线；预告；n. 下划线；下期节目预告,This tragic incident underlines the need for immediate action.,这一悲剧事件突显了立即采取行动的必要性。
humanity,hjʊ'mænəti,n. 人类；人道；仁慈；人文学科,We want a clean healthy environment for all humanity .,我们希望全人类拥有一个干净健康的生存环境。
position,pə'zɪʃən,n. 位置，方位；职位，工作；姿态；站位；v. 安置；把……放在适当位置,Lie in a comfortable position .,以一个舒服的姿势躺下。
particular,pɚ'tɪkjəlɚ,adj. 特别的；详细的；独有的；挑剔的；n. 详细说明；个别项目,"In this particular case, no one else was involved.",这件事没有其他人牵涉其中。
immigrant,'ɪmɪɡrənt,adj. 移民的；迁入的；n. 移民，侨民,"But “the hostile part can be mobilized from time to time,” by what he calls “anti-immigrant entrepreneurs.",但是“敌对的那部分可能会不时地动员”，以他称之为“反移民企业家”的名义。
opportunity,"ˌɑpɚˈtunɪti, -ˈtju-",n. 时机，机会,There are fewer opportunities for new graduates this year.,今年新毕业的大学生就业机会较少。
access,'æksɛs,v. 使用；存取；接近；n. 进入；使用权；通路,Users can access their voice mail remotely.,用户可以远程获取语音邮件。
observe,əb'zɝv,v. 庆祝,...where he will observe Thanksgiving with family members.,…在那里他将与家人一起庆祝感恩节。
stay,ste,v. 停留；坚持；暂住；停下；n. 逗留；停止；支柱,They stayed all afternoon chatting.,他们待了整个下午聊天。
commercial,kə'mɝʃəl,adj. 商业的；营利的；靠广告收入的；n. 商业广告,Our top priorities must be profit and commercial growth.,我们必须把利润和贸易增长作为我们的第一要务。
reveal,rɪ'vil,v. 显示；透露；揭露；泄露；n. 揭露；暴露；门侧，窗侧,He may be prosecuted for revealing secrets about the security agency.,他可能因泄露安全部门的机密而被起诉。
effort,'ɛfɚt,n. 努力；成就,please make an effort to be polite.,请尽量礼貌些。
reduce,rɪ'dʊs,v. 减少；降低；使处于；把…分解,The governor announced a new plan to reduce crime.,州长宣布了一项降低犯罪率的新计划。
term,tɝm,n. 术语；学期；期限；条款；(代数式等的)项；v. 把…叫做,Teachers often feel overworked in term time (= during the term ) .,教师在学期内经常觉得工作担子过重。
action,'ækʃən,n. 行动；活动；功能；战斗；情节,The government must take action (=  do something  ) now to stop the rise in violent crime.,政府现在必须采取行动遏止暴力犯罪的上升。
decade,'dɛked,n. 十年，十年期；十,...the last decade of the nineteenth century.,…19世纪的最后10年。
productivity,",prodʌk'tɪvəti",n. 生产力；生产率；生产能力,high productivity levels in manufacturing,制造业中的高生产率
sentence,'sɛntəns,n. [语][计] 句子，命题；宣判，判决；v. 判决，宣判,His voice dropped at the end of the sentence.,到句子结尾处，他压低了嗓音。
celebrity,sə'lɛbrəti,n. 名人；名声,a sporting celebrity,体育明星
teacher,'titʃɚ,n. 教师；导师,a primary school teacher,小学教师
concern,kən'sɝn,v. 涉及，关系到；使担心；n. 关系；关心；关心的事；忧虑,Issues like food additives do concern me.,食品添加剂这类事情确实使我很担心。
score,skɔ,n. 分数；二十；配乐；刻痕；v. 获得；评价；划线，刻划；把…记下,a musical score,乐谱
variety,və'raɪəti,n. 多样；种类；杂耍；变化，多样化,I really like the variety the store has to offer.,我很喜欢这家商店商品的丰富多样。
unique,jʊ'nik,adj. 独特的，稀罕的；[数] 唯一的，独一无二的；n. 独一无二的人或物,Each person’s fingerprints are unique.,每个人的指纹都是独一无二的。
depend,dɪ'pɛnd,v. 依赖，依靠；取决于；相信，信赖,He depended on his writing for his income.,他靠写作谋生。
nuclear,'nuklɪɚ,adj. 原子能的；[细胞] 细胞核的；中心的；原子核的,France’s reliance on nuclear energy,法国对核能的依赖
involve,ɪn'vɑlv,v. 包含；牵涉；使陷于；潜心于,What will the job involve?,这份工作包括什么？
career,kə'rɪr,n. 生涯；职业；事业；速度，全速；adj. 作为毕生职业的；v. 全速前进，猛冲,a teaching career,教学事业
belief,bɪ'lif,n. 相信，信赖；信仰；教义,"When you get something wrong, it can shake your belief in yourself.",如果有什么事情没做好，就会动摇你对自己的信心。
spend,spɛnd,v. 度过，消磨（时光）；花费；浪费；用尽；n. 预算,I can’t afford to spend any more money this week.,这星期我没有能力花更多的钱了。
necessary,ˈnɛsəˌsɛri,adj. 必要的；必需的；必然的；n. 必需品,The booklet provides all the necessary information about the college.,这本小册子提供了关于那所学院的所有必需信息。
general,'dʒɛnrəl,adj. 一般的，普通的；综合的；大体的；n. 一般；将军，上将；常规,a general introduction to computing,计算机应用概论
cure,kjʊr,v. 治疗；治愈；使硫化；加工处理；n. 治疗；治愈；[临床] 疗法,Many types of cancer can now be cured.,现在许多癌症都可以治好。
network,'nɛtwɝk,n. 网络；广播网；网状物,Hungary’s telephone network,匈牙利的电话网
determine,dɪ'tɝmɪn,v. （使）下决心，（使）做出决定,The date of the court case has not yet been determined.,庭审日期尚未确定。
possible,'pɑsəbl,adj. 可能的；合理的；合适的；n. 可能性；合适的人；可能的事物,Is it possible toget tickets for the game?,有没有可能弄到比赛的门票？
security,sə'kjʊrəti,n. 安全；保证；证券；抵押品；adj. 安全的；保安的；保密的,The trial was held under tight security .,这场审讯是在戒备森严的情况下进行的。
organization,",ɔrɡənə'zeʃən",n. 组织；机构；体制；团体,The public expect high standards from any large organization.,公众对任何大型机构都期望很高。
pursuit,pɚ'sut,n. 追赶，追求；职业，工作,The quarterback sprinted toward the end zone with Jansen in hot pursuit (= following closely behind ) .,那名四分卫快速冲向底线区，詹森穷追不舍。
plant,plænt,n. 工厂，车间；植物；设备；庄稼；v. 种植；培养；栽培；安置,Don’t forget to water the plants.,别忘记给植物浇水。
situation,",sɪtʃu'eʃən",n. 情况；形势；处境；位置,I explained the situation to everyone.,我向大家介绍了一下情况。
agency,'edʒənsi,n. 代理，中介；代理处，经销处,a UN agency responsible for helping refugees,负责为难民提供帮助的联合国机构
natural,'nætʃrəl,adj. 自然的；物质的；天生的；不做作的；n. 自然的事情；白痴；本位音,the study of the natural world ,对自然界的研究
speak,spik,v. 说话；演讲；表明；陈述,I was so shocked I couldn’t speak.,我震惊得说不出话来。
feature,'fitʃɚ,n. 特色，特征；容貌；特写或专题节目；v. 起重要作用,Air bags are a standard feature in most new cars.,气囊是大多数新车的标准配置。
translation,træns'leʃən,n. 翻译；译文；转化；调任,She read the letter and gave us a rough translation (= she did not translate everything exactly ) .,她看了信，给我们大概翻译了一下。
mass,mæs,n. 块，团；群众，民众；大量，众多；质量；adj. 群众的，民众的；大规模的，集中的；v. 聚集起来，聚集,The road was blocked by a solid mass of protesters.,道路被密密麻麻的抗议者阻塞了。
achieve,ə'tʃiv,v. 取得；获得；实现；成功,Frances achieved very good exam results.,弗朗西丝考试取得了优异成绩。
agree,ə'ɡri,v. 同意，赞成；承认；约定，商定,Teenagers and their parents rarely agree.,十几岁的孩子跟父母意见很少一致。
difficult,'dɪfɪkəlt,adj. 困难的；不随和的；执拗的,a difficult question,难解的问题
formal,'fɔrml,adj. 正式的；拘谨的；有条理的；n. 正式的社交活动；夜礼服,formal recognition of the reformed church,改革后的教会所获得的官方承认
lawyer,'lɔjɚ,n. 律师；法学家,Prosecution and defence lawyers are expected to deliver closing arguments next week.,原告律师和被告律师下周将要作终结辩论。
trend,trɛnd,n. 趋势，倾向；走向；v. 趋向，伸向,The current trend is towards more part-time employment.,当前的趋势是雇用更多的兼职人员。
order,'ɔrdɚ,n. 命令；顺序；规则；[贸易] 定单；v. 命令；整理；定购,There seemed to be no logical order to the sections.,这几部分似乎没有逻辑顺序。
advantage,əd'væntɪdʒ,n. 优势；利益；有利条件；v. 获利,Younger workers tend to be at an advantage (=  have an advantage  ) when applying for jobs.,年轻点的工人申请工作时往往处于优势地位。
suppose,sə'poz,v. 假设；认为；让（虚拟语气）；推想；conj. 假使…结果会怎样,There were many more deaths than was first supposed.,死亡人数远远超过最初的预料。
province,'prɑvɪns,n. 省；领域；职权,a Chinese province,中国的一个省
soccer,'sɑkɚ,n. 英式足球，足球,It must be one of those soccer scarfs from England.,那一定是某个英国足球队的围巾。
encourage,ɪn'kɝrɪdʒ,v. 鼓励，怂恿；激励；支持,I want to thank everyone who has encouraged and supported me.,我要感谢每一位鼓励和支持过我的人。
promise,'prɑmɪs,n. 许诺，允诺；希望；v. 允诺，许诺；给人以…的指望或希望,"If you make a promise, you should keep it.",如果你许下一个诺言，你就应该遵守它。
sign,saɪn,n. 迹象；符号；记号；手势；指示牌；v. 签署；签名,a sign on the door,门上的标牌
analysis,ə'næləsɪs,n. 分析；分解；验定,She’s been in analysis for three years.,她接受精神分析治疗已经三年了。
translate,træns'let,v. 翻译；转化；解释；转变为；调动,Poetry doesn’t usually translate well.,诗歌通常都译不好。
expert,"'ɛkspɝt; (for adj., also) ɛksˈpɝt ; ɪkˈspɝt",adj. 熟练的；内行的；老练的；n. 专家；行家；能手；vt. 当专家；在…中当行家,He cast his expert eye on the gardener’s work.,他用内行的眼光看了看园丁干的活。
